idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
59836;1.0;1.0;DE;3.0;3.0;2.0;5.0;1;1.0;4.0;60.0;7.0;8.0;8.0;2.0;4.0;1;1
59880;1.0;1.0;DE;3.0;9.0;2.0;5.0;1;1.0;3.0;64.0;5.0;7.0;10.0;3.0;3.0;1;1
59904;1.0;1.0;DE;3.0;2.0;1.0;1.0;0;5.0;4.0;73.0;3.0;8.0;9.0;5.0;5.0;1;1
59921;1.0;1.0;DE;3.0;8.0;4.0;5.0;0;4.0;4.0;71.0;0.0;4.0;4.0;0.0;0.0;1;1
59933;3.0;1.0;DE;3.0;4.0;1.0;5.0;1;5.0;3.0;80.0;2.0;4.0;8.0;3.0;3.0;1;0
59957;1.0;1.0;DE;7.0;10.0;2.0;5.0;0;1.0;1.0;63.0;3.0;8.0;7.0;3.0;3.0;1;1
59960;1.0;1.0;DE;6.0;6.0;6.0;5.0;0;1.0;4.0;39.0;1.0;6.0;8.0;1.0;1.0;1;1
59961;3.0;1.0;DE;5.0;7.0;2.0;1.0;0;1.0;3.0;67.0;6.0;5.0;10.0;7.0;6.0;1;0
59966;3.0;1.0;DE;2.0;4.0;3.0;5.0;0;6.0;3.0;24.0;7.0;7.0;9.0;6.0;8.0;1;0
59984;3.0;1.0;DE;5.0;5.0;2.0;2.0;1;1.0;4.0;57.0;5.0;7.0;7.0;2.0;1.0;1;0
60024;1.0;1.0;DE;2.0;10.0;3.0;5.0;1;6.0;3.0;19.0;7.0;7.0;8.0;4.0;4.0;1;1
60028;1.0;1.0;DE;6.0;7.0;1.0;5.0;0;4.0;3.0;56.0;0.0;3.0;3.0;0.0;3.0;1;1
60038;1.0;1.0;DE;3.0;10.0;2.0;5.0;1;1.0;4.0;53.0;5.0;9.0;9.0;3.0;3.0;1;1
60064;3.0;1.0;DE;5.0;7.0;4.0;4.0;1;1.0;3.0;48.0;9.0;8.0;8.0;7.0;7.0;1;0
60103;1.0;1.0;DE;3.0;3.0;1.0;5.0;1;5.0;3.0;65.0;5.0;6.0;7.0;3.0;3.0;1;1
60105;3.0;1.0;DE;3.0;3.0;1.0;5.0;1;6.0;3.0;76.0;3.0;5.0;6.0;3.0;1.0;1;0
60123;1.0;1.0;DE;5.0;10.0;4.0;5.0;1;1.0;4.0;43.0;7.0;8.0;8.0;7.0;7.0;1;1
